,feature name,feature value,min,1q,median,3q,max,mean,sd,n (nearest 5),kfold
180,stroke_severity_arrival,12.0,-64.74642642907799,-28.99301929051988,-20.319731477834285,-12.976630372321234,42.90680662902072,-20.25265089516569,13.884784482209293,610,3
181,stroke_severity_arrival,13.0,-73.81752426158637,-45.05616098150611,-36.65262099143118,-28.293963571731002,16.993063747100532,-35.891927916022105,13.419832746488519,580,3
182,stroke_severity_arrival,14.0,-90.80026108961552,-60.268596236044544,-51.67832678302191,-41.93368561736308,9.273606329280883,-50.34908123265251,14.534122073701868,525,3
183,stroke_severity_arrival,15.0,-102.7869852741994,-62.68797319917008,-50.732413624078035,-43.01706969509833,21.387356280647218,-51.289506619119166,16.801924261565627,530,3
184,stroke_severity_arrival,16.0,-106.4126023043599,-77.33764814680443,-66.74036648802459,-59.249951134473086,12.975405623107218,-65.21880258974123,17.125675947713372,515,3
185,stroke_severity_arrival,17.0,-111.74655604104511,-78.23173885713331,-67.6725226015225,-57.727614821624016,-4.7864480697736145,-67.26685789535655,17.083557419028747,490,3
186,stroke_severity_arrival,18.0,-139.73457794014365,-93.20368403503205,-84.35460895329715,-75.14062881306978,-30.611216818131506,-82.59222587260604,16.228513962839855,510,3
187,stroke_severity_arrival,19.0,-156.32645736727864,-99.41201438412303,-92.26701144060121,-81.84153177149594,1.2067939535714687,-89.40942492228405,19.07425203288359,470,3
188,stroke_severity_arrival,20.0,-154.75063073963392,-110.53628380723298,-100.30605893263593,-88.77176138587296,-22.7919614148885,-98.45444395063696,18.78056401538503,435,3
189,stroke_severity_arrival,21.0,-163.12770085713825,-125.75152073856444,-114.56095460265875,-100.32582157038152,-20.077332849539815,-111.193342751595,20.96580771751015,435,3
190,stroke_severity_arrival,22.0,-168.9099893781636,-140.5149592893431,-129.10836233954876,-114.91230220291763,-50.30357341391966,-125.67597826977637,20.46284431833619,360,3
191,stroke_severity_arrival,23.0,-183.51586407243275,-140.60130258891266,-131.45220234761015,-117.15174301561899,-38.914719506753606,-126.94606704857229,22.122587417733044,305,3
192,stroke_severity_arrival,24.0,-174.50061666429974,-145.12486853678712,-133.21639043022878,-113.84049126177328,-56.30165408553555,-128.50687441348686,23.71032931244561,300,3
193,stroke_severity_arrival,25.0,-179.71451857300474,-155.85439489085695,-141.6522402552515,-122.63799635118572,-23.397325053671373,-136.47961212648173,26.392955265814887,255,3
194,stroke_severity_arrival,26.0,-180.66875340441243,-154.03386192348086,-141.9901157116145,-121.5708601704007,-61.909270763210955,-136.80381784919624,24.2841574179543,195,3
195,stroke_severity_arrival,27.0,-204.06842985606752,-172.604216910908,-160.477563632424,-149.3836214504775,-89.58308857008815,-158.80687311120286,20.60595775799512,200,3
196,stroke_severity_arrival,28.0,-186.1650331019517,-159.1590626945719,-147.97603103928267,-136.60794819691216,-71.27929414481856,-145.5462192667194,22.56847585791237,115,3
197,stroke_severity_arrival,29.0,-210.1063588971179,-168.5280484684417,-157.1055807831604,-143.86726891843603,-99.34267507487908,-156.41334206978422,21.196599070461982,80,3
198,stroke_severity_arrival,30.0,-205.2165935970936,-179.2491849725996,-168.02166549102404,-144.80982273452915,-53.59485946107656,-160.5950026751306,27.197333777660727,60,3
199,stroke_severity_arrival,31.0,-205.0645495562721,-178.96847186015918,-165.82085371840745,-151.17382635949178,-124.38257032033056,-165.84856958822482,18.391832590256314,40,3
200,stroke_severity_arrival,32.0,-209.68801598764955,-175.75442742161454,-167.81582385861782,-157.65615163188428,-81.12578490749468,-165.61069638398223,24.925383474328722,35,3
201,stroke_severity_arrival,33.0,-227.23029220496304,-220.43343403560925,-183.7004630955425,-171.33915908012074,-138.53085463078227,-189.5352586399584,27.80153034927613,15,3
202,stroke_severity_arrival,34.0,-220.19640781372786,-194.19616875988314,-179.87806262616766,-171.31406848849147,-122.442633465603,-179.22155483278524,23.425104183859442,10,3
203,stroke_severity_arrival,35.0,-188.3197822523676,-161.92322283078917,-150.94781941130756,-118.57915241570677,-80.59645475480706,-140.9895210044031,35.94492788478418,10,3
204,stroke_severity_arrival,36.0,-217.649488146659,-184.20788381372114,-171.5510190818552,-138.7914056528674,-113.0315915412223,-165.16854900273296,31.484998447672545,15,3
205,stroke_severity_arrival,37.0,-259.85733067941385,-252.9326906047575,-248.05059196647255,-225.05023285157978,-179.7993902164325,-233.13804726373124,29.115484122136873,<10,3
206,stroke_severity_arrival,38.0,-246.1118711195886,-208.18598517550853,-181.11956550163916,-166.5057475777669,-136.4513533802936,-187.98207389760415,33.306153391549124,10,3
207,stroke_severity_arrival,39.0,-200.39211068430916,-183.51974470632152,-168.91791183079127,-151.57694688236342,-136.71398968184366,-168.2241407571258,22.535455586255672,<10,3
208,stroke_severity_arrival,40.0,-275.0156782438932,-234.74610671718605,-224.52945109171793,-220.56249445242807,-204.90625886226073,-228.95185131135213,17.866961583324763,15,3
209,stroke_severity_arrival,41.0,-229.53632957866415,-205.9609531870717,-182.3855767954793,-150.27514390135184,-118.1647110072244,-176.69553912712263,45.644946798129105,<10,3
210,stroke_severity_arrival,42.0,-230.9800385324657,-190.8752181308251,-165.12153944898398,-152.14592392014805,-130.05717197778634,-174.59544709559097,32.026357153886075,15,3
211,age,0-60,-53.16822403084487,25.603615097613073,30.5809857801022,37.01484066181351,141.94663073591423,32.580399858926164,12.145540976530986,4305,3
212,age,60-80,-59.654167254790664,6.371956062002573,12.269544559586793,19.98668060913682,94.39646545947063,13.083866992275048,10.544501934286306,11715,3
213,age,80+,-131.87300675335806,-36.827099502328785,-22.175663552540353,-9.978543309764937,58.56578365333844,-25.34752992810348,20.786178769579532,11260,3
214,prior_disability,0.0,-6.349570044968277,14.861049740947783,16.37937075132504,17.813359461724758,54.09478858385235,16.49572725776258,3.3483718210292097,14320,3
215,prior_disability,1.0,-26.892009365167468,2.6427905923500656,4.924339370881207,7.100398949682712,31.232137963641435,4.277950350045332,5.0260366308138,4620,3
216,prior_disability,2.0,-86.65979350347072,-13.017958216844127,-9.90117115439847,-6.862326520113275,24.910834047570823,-10.416189053455065,6.5726454867873,2765,3
217,prior_disability,3.0,-95.80129903068766,-34.39256626880844,-30.893510167326312,-27.48488919417956,11.168963411846198,-30.871136344469736,7.7767715829132635,3280,3
218,prior_disability,4.0,-117.6497649563849,-55.032129220343194,-48.465531253027734,-40.66576729998458,6.444828298762441,-47.28084958049237,11.836781382338547,1800,3
219,prior_disability,5.0,-146.09886045387015,-68.78135877986904,-56.086344151166266,-45.36948625280638,-0.3382928910059854,-56.90070654333346,18.920889721647505,490,3
220,any_afib_diagnosis,0.0,-21.811305559016763,2.601983890659176,3.4766944311745465,4.69812883105129,39.92241247199476,3.7121016587717177,2.1461610692095703,20020,3
221,any_afib_diagnosis,1.0,-50.89171366623603,-10.572765598744153,-7.153689555600286,-4.609953618329018,48.06459820497781,-7.58852249479205,5.091465278079366,7260,3
222,precise_onset_known,0.0,-45.1555175375659,-4.201529564238154,-2.711907652271911,-1.7707211719360203,31.969119851691648,-3.0981283371317714,2.941052487716677,11630,3
223,precise_onset_known,1.0,-30.2486735884659,2.2016010162327437,2.995720425620675,4.114666608422994,29.078865484911947,3.3021723688727254,2.3297393313234993,15650,3
224,stroke_severity_arrival,0.0,-63.64531439709477,33.74228661392815,38.06583593239076,41.46801278660074,70.51012400072068,36.691734324481516,8.855889953576318,1835,4
225,stroke_severity_arrival,1.0,13.71093796689529,49.444262806209736,54.12222941865446,57.765938940173946,76.60043988918653,53.27498807594731,6.709041663701007,2205,4
226,stroke_severity_arrival,2.0,5.191891898249741,46.119707631990316,50.567152954777704,54.07025469298475,93.26295712640044,50.00538572946521,6.549607894432551,2925,4
227,stroke_severity_arrival,3.0,-6.6627280658110974,38.491350227221844,41.409219046866056,44.442388027466365,73.641733295694,41.212606988550974,5.672702801656048,2675,4
228,stroke_severity_arrival,4.0,3.6905085835698994,33.20876111046411,37.17771004753653,39.01406203313731,67.29064589594257,36.037807745265525,5.116605345717631,2175,4
229,stroke_severity_arrival,5.0,5.468274736022576,30.256704464340583,33.00809601039626,35.241373873492705,53.208437548596415,32.80779485405626,4.143151945147073,1915,4
230,stroke_severity_arrival,6.0,0.9097328410949558,24.865520451953635,27.97344296301715,30.941785339498892,54.57881705450826,27.93238684595254,4.90833349643469,1680,4
231,stroke_severity_arrival,7.0,-24.792033337475733,12.393355383197777,15.104872066946701,18.100640614926814,50.41407818656415,14.975546552322992,6.217854149510385,1280,4
232,stroke_severity_arrival,8.0,-13.28038660406135,7.092027427554131,9.818554818620905,12.68757667732425,43.11031671795994,9.851387239328195,5.342566352794417,1090,4
233,stroke_severity_arrival,9.0,-22.194100171765314,3.4831141284992917,6.486933095008135,9.87166632413864,42.97418662143871,6.940955623226743,6.808555571368622,895,4
234,stroke_severity_arrival,10.0,-59.798851725617425,-4.891396748446859,-1.5059289231011643,1.7853053222037851,30.275932934386656,-2.095107529925919,8.297764974025997,820,4
235,stroke_severity_arrival,11.0,-40.69852774374187,-11.492614828785882,-6.3006382555165334,-2.195213722118642,59.100206255670635,-6.442275791265646,9.695103343991684,735,4
236,stroke_severity_arrival,12.0,-79.78312772725708,-23.577682277914136,-17.732748921280727,-11.645005229134112,17.524548427797853,-18.290884631986692,11.504234460877338,600,4
237,stroke_severity_arrival,13.0,-67.86708106802776,-37.74932589254342,-28.4886064993497,-21.191428187241545,27.584264994831756,-29.061634034647902,12.327714471159428,515,4
238,stroke_severity_arrival,14.0,-93.62634888041765,-50.903989176778126,-43.09452207012102,-35.022964360259934,2.3468569025583563,-42.562652545827476,12.68896599226587,500,4
239,stroke_severity_arrival,15.0,-116.12059508366511,-58.4401559346728,-49.003747186516414,-39.42940075691324,-11.333354718927295,-48.87704489890577,13.50912885525637,490,4
240,stroke_severity_arrival,16.0,-98.41568901469931,-65.02270436505788,-55.40991333323531,-46.80821028179489,-4.834149542618543,-54.948144161641316,13.366640465884863,455,4
241,stroke_severity_arrival,17.0,-99.14368175862357,-73.37053830711172,-59.558132179211825,-49.09723696780857,42.68494813144207,-59.972658917248644,16.958164420490107,505,4
242,stroke_severity_arrival,18.0,-125.16553137069567,-89.10711485875771,-80.54953147767111,-69.16586771465838,-28.24638031706214,-78.30844064798403,14.901842731232197,485,4
243,stroke_severity_arrival,19.0,-125.19298300256952,-95.7772476597689,-87.22446814995259,-75.16391012294218,-7.804463543985039,-84.79539003598632,16.651592359523868,495,4
244,stroke_severity_arrival,20.0,-127.3040426922217,-103.0286867296137,-93.56865359066055,-81.80260376620106,-37.5384570592735,-92.3486798371141,15.795557132071906,430,4
245,stroke_severity_arrival,21.0,-153.6602638919279,-121.34211263929492,-111.90526137928478,-102.25199313011487,-32.71412211631425,-108.77833957368452,18.336200832891137,405,4
246,stroke_severity_arrival,22.0,-158.2993339770101,-128.79627703987063,-119.78524529468035,-109.24617547873174,-22.675108321029693,-115.96695533548768,18.45368828815031,405,4
247,stroke_severity_arrival,23.0,-196.41213871259242,-135.61089866548775,-126.17113312252798,-113.13447454303038,-54.66914765761234,-122.79490790583829,19.5589321563372,335,4
248,stroke_severity_arrival,24.0,-170.71346379468218,-141.35022980276494,-128.2617892699968,-115.41713222385384,-19.734104245286435,-125.6874162212535,22.027783350465867,300,4
249,stroke_severity_arrival,25.0,-166.53824397734832,-141.65413246886806,-131.93818772448228,-109.04469065740705,-59.32032608301379,-125.43085139392967,22.10164457779629,275,4
250,stroke_severity_arrival,26.0,-195.43825091115198,-151.71410391949115,-140.49947100754827,-124.77823028575163,-56.61750100326724,-136.93157602185605,22.043571933966433,225,4
251,stroke_severity_arrival,27.0,-189.4523420932237,-165.37874535941984,-154.7439182297117,-141.07557489444736,-87.1373078897316,-152.3878776784033,19.37690904646195,155,4
252,stroke_severity_arrival,28.0,-195.2258163835993,-167.01863164666108,-157.49251039279625,-141.38368268290068,-95.86428595105185,-152.62867698621673,19.25227580966312,130,4
