,variable,value,abs_value,r-squared
Treatment_time_270_both_only_mt_over_270mins,Treatment_time_270_both_only_ivt_under_270mins,-0.0266,0.0266,0.0007
IMD_2019_QUINTILES,eth5_Mixed or multiple ethnic groups,-0.026,0.026,0.0007
any_afib_diagnosis,Treatment_time_270_both_only_mt_over_270mins,0.0268,0.0268,0.0007
onset_in_hospital_or_arrival_within_6hrs_in_hospital,Treatment_time_270_both_only_mt_under_270mins,0.0257,0.0257,0.0007
Treatment_time_270_both_only_mt_over_270mins,covid_status_Vaccination only,0.0267,0.0267,0.0007
stroke_type_I,Treatment_time_270_both_ivt_mt_under_270mins,0.0269,0.0269,0.0007
stroke_severity_arrival,covid_status_Infection only,0.0255,0.0255,0.0007
stroke_type_PIH,Treatment_time_270_both_ivt_mt_under_270mins,-0.0265,0.0265,0.0007
covid_status_None,onset_in_hospital_or_arrival_within_6hrs_beyond_6hrs,-0.0243,0.0243,0.0006
Treatment_time_270_both_only_ivt_under_270mins,Treatment_time_270_both_only_ivt_over_270mins,-0.0238,0.0238,0.0006
stroke_type_NK,onset_time_type_P,-0.0235,0.0235,0.0006
stroke_type_NK,stroke_type_PIH,-0.024,0.024,0.0006
prior_disability,IMD_2019_QUINTILES,-0.0244,0.0244,0.0006
onset_in_hospital_or_arrival_within_6hrs_in_hospital,diabetes,0.0236,0.0236,0.0006
onset_in_hospital_or_arrival_within_6hrs_beyond_6hrs,eth5_White,-0.0245,0.0245,0.0006
onset_in_hospital_or_arrival_within_6hrs_beyond_6hrs,"eth5_Black, Black British, Caribbean or African",0.0249,0.0249,0.0006
onset_in_hospital_or_arrival_within_6hrs_beyond_6hrs,diabetes,0.0241,0.0241,0.0006
stroke_severity_arrival,covid_status_Vaccination only,-0.0242,0.0242,0.0006
diabetes,stroke_severity_arrival,-0.0243,0.0243,0.0006
stroke_type_PIH,prior_disability,0.0218,0.0218,0.0005
onset_in_hospital_or_arrival_within_6hrs_within_6hrs,Treatment_time_270_both_only_mt_over_270mins,0.0214,0.0214,0.0005
IMD_2019_QUINTILES,eth5_Other ethnic group,-0.0229,0.0229,0.0005
Treatment_time_270_both_ivt_under_270mins_mt_over_270mins,Treatment_time_270_both_only_ivt_under_270mins,-0.0229,0.0229,0.0005
Treatment_time_270_both_ivt_mt_over_270mins,stroke_severity_arrival,0.0222,0.0222,0.0005
eth5_Other ethnic group,eth5_Asian or Asian British,-0.0218,0.0218,0.0005
stroke_type_NK,Treatment_time_270_both_None,0.0232,0.0232,0.0005
Treatment_time_270_both_ivt_mt_under_270mins,Treatment_time_270_both_only_ivt_under_270mins,-0.0227,0.0227,0.0005
covid_status_Infection only,eth5_White,-0.0217,0.0217,0.0005
stroke_type_PIH,eth5_White,-0.0232,0.0232,0.0005
stroke_type_I,eth5_White,0.0222,0.0222,0.0005
stroke_type_I,prior_disability,-0.0222,0.0222,0.0005
onset_time_type_P,onset_in_hospital_or_arrival_within_6hrs_beyond_6hrs,-0.0227,0.0227,0.0005
onset_time_type_BE,Treatment_time_270_both_ivt_under_270mins_mt_over_270mins,-0.0188,0.0188,0.0004
Treatment_time_270_both_only_mt_under_270mins,stroke_type_I,0.019,0.019,0.0004
onset_time_type_NK,any_afib_diagnosis,-0.0208,0.0208,0.0004
eth5_Mixed or multiple ethnic groups,any_afib_diagnosis,-0.02,0.02,0.0004
any_afib_diagnosis,onset_in_hospital_or_arrival_within_6hrs_onset_unknown,-0.0208,0.0208,0.0004
onset_in_hospital_or_arrival_within_6hrs_onset_unknown,Treatment_time_270_both_only_mt_over_270mins,-0.0189,0.0189,0.0004
prior_disability,Treatment_time_270_both_only_ivt_over_270mins,-0.0201,0.0201,0.0004
Treatment_time_270_both_only_mt_over_270mins,onset_time_type_NK,-0.0189,0.0189,0.0004
covid_status_Vaccination and infection,stroke_severity_arrival,0.0207,0.0207,0.0004
onset_time_type_P,eth5_Asian or Asian British,0.0194,0.0194,0.0004
onset_in_hospital_or_arrival_within_6hrs_in_hospital,covid_status_Infection only,0.0192,0.0192,0.0004
onset_in_hospital_or_arrival_within_6hrs_in_hospital,covid_status_Vaccination only,-0.0205,0.0205,0.0004
Treatment_time_270_both_only_ivt_under_270mins,stroke_type_NK,-0.0204,0.0204,0.0004
covid_status_Vaccination and infection,prior_disability,0.0203,0.0203,0.0004
stroke_type_PIH,Treatment_time_270_both_only_mt_under_270mins,-0.0187,0.0187,0.0003
eth5_Mixed or multiple ethnic groups,eth5_Asian or Asian British,-0.0186,0.0186,0.0003
diabetes,eth5_Other ethnic group,0.0158,0.0158,0.0003
eth5_Other ethnic group,"eth5_Black, Black British, Caribbean or African",-0.0158,0.0158,0.0003
Treatment_time_270_both_only_mt_over_270mins,onset_time_type_BE,0.0168,0.0168,0.0003
Treatment_time_270_both_only_ivt_under_270mins,Treatment_time_270_both_only_mt_under_270mins,-0.016,0.016,0.0003
eth5_Asian or Asian British,covid_status_Infection only,0.0186,0.0186,0.0003
onset_time_type_NK,diabetes,0.0168,0.0168,0.0003
diabetes,onset_in_hospital_or_arrival_within_6hrs_onset_unknown,0.0168,0.0168,0.0003
Treatment_time_270_both_ivt_under_270mins_mt_over_270mins,diabetes,-0.0165,0.0165,0.0003
prior_disability,covid_status_None,-0.0159,0.0159,0.0003
Treatment_time_270_both_None,any_afib_diagnosis,0.0173,0.0173,0.0003
stroke_type_NK,onset_in_hospital_or_arrival_within_6hrs_in_hospital,0.0185,0.0185,0.0003
IMD_2019_QUINTILES,Treatment_time_270_both_None,-0.018,0.018,0.0003
stroke_severity_arrival,stroke_type_NK,-0.0162,0.0162,0.0003
Treatment_time_270_both_only_ivt_under_270mins,IMD_2019_QUINTILES,0.0157,0.0157,0.0002
IMD_2019_QUINTILES,onset_time_type_NK,-0.0135,0.0135,0.0002
covid_status_Infection only,IMD_2019_QUINTILES,-0.0148,0.0148,0.0002
age,stroke_type_PIH,0.0142,0.0142,0.0002
any_afib_diagnosis,covid_status_None,-0.0126,0.0126,0.0002
stroke_severity_arrival,covid_status_None,0.0137,0.0137,0.0002
